Ano,Item,Dados,Atlético GO,Atlético,Athletico,Bahia,Botafogo,Corinthians,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Sport,Santos,Média da Liga
2024,RECEITA,Receita Total,116.694,627.465,545.8749999999999,273.347,703.678,1056.2549999999999,180.252,346.69100000000003,319.476,1266.246,667.793,251.106,592.751,69.848,512.572,1207.361,134.427,722.072,453.29099999999994,135.915,379.07,528.8
2024,RECEITA,Receita Recorrente,109.625,444.62700000000007,273.6069999999999,237.654,607.322,717.8339999999998,178.537,271.84700000000004,205.053,1158.862,399.624,231.515,486.431,67.901,334.36199999999997,767.0120000000002,130.533,628.702,283.0329999999999,75.684,252.04199999999997,396.53057894736844
2024,RECEITA,Receita c/ Transmissão + Premiações,58.123,247.742,57.558,112.788,358.486,365.699,84.237,138.072,56.036,453.543,166.696,103.019,178.616,60.387,126.164,234.197,94.055,239.421,146.815,25.175,55.48,172.71863157894737
2024,RECEITA,Receita Comercial,14.222,59.466,35.544,57.09,59.088,253.721,42.38,73.225,31.158,420.227,78.274,47.546,77.15,11.243,87.79400000000001,179.61,25.854,99.09200000000001,59.907000000000004,19.316,89.114,90.13636842105265
2024,RECEITA,Receita c/ Match-Day + Sócio-Torcedor,13.625,112.877,85.459,83.183,84.976,93.994,48.837999999999994,83.50800000000001,14.703000000000001,243.539,99.05600000000001,64.618,111.043,23.138,93.25,126.99699999999999,10.123999999999999,147.75,87.79499999999999,29.659,62.374,85.7091052631579
2024,RECEITA,Receita c/ Negociação de atletas,7.069,182.838,272.268,35.693,96.356,338.421,1.715,74.844,114.423,107.384,268.169,19.591,106.32,1.947,178.21,440.349,3.894,93.37,170.258,60.231,127.028,132.26942105263154
2024,DESPESA,Folha do Futebol,46.289,323.366,136.166,293.677,372.5,367.714,98.667,200.355,92.403,524.04,346.528,142.852,164.647,77.262,255.77999999999997,404.64300000000003,61.148,375.57599999999996,213.377,63.22,187.229,236.68368421052637
2024,DESPESA,Folha do Futebol + Amortização,51.158,435.94399999999996,181.86,392.107,502.01800000000003,450.203,102.037,282.67199999999997,102.69800000000001,737.3489999999999,379.16,195.37900000000002,212.051,77.262,333.47999999999996,509.728,61.929,458.69899999999996,305.309,74.28999999999999,231.173,303.73910526315785
2024,DESPESA,Folha do Futebol + Compra de Jogadores,57.54,552.5409999999999,237.946,558.2650000000001,904.933,575.216,118.068,532.226,110.55600000000001,938.848,419.086,225.144,294.181,77.262,443.53099999999995,590.097,63.736000000000004,486.32899999999995,398.51300000000003,85.987,221.33,399.1588421052631
2024,DESPESA,Custo das Atividades Esportivas,137.0,619.95,250.747,445.465,608.584,759.786,190.792,395.089,129.357,988.412,593.3,275.265,398.264,84.671,404.427,932.722,84.533,655.704,382.141,92.679,297.661,438.7478421052632
2024,RESULTADO,Resultado Operacional (Segmento Futebol),-47.35,-79.871,71.626,-249.885,-136.26,257.513,-12.255,-146.439,62.015,46.131,68.772,-75.763,104.485,-14.823,29.603,274.639,45.999,-82.58499999999992,-56.59,-10.308,43.975,3.103263157894738
2024,RESULTADO,Resultado,-45.111,-299.354,23.439,-246.545,-299.983,-22.022,-41.305,-169.908,64.753,-2.6,0.114,-80.325,43.592,-28.995,-34.499,198.183,34.227,-287.64,-114.682,-16.587,-105.206,-68.87689473684209
2024,PASSIVOS,Dívida Líquida,40.319,1579.77,245.568,800.6050000000002,986.022,1819.02,243.31199999999995,1168.088,33.833999999999996,670.5869999999999,727.924,150.636,722.258,13.0,989.335,541.9910000000001,2.1809999999999974,903.205,964.4600000000002,184.96400000000003,607.817,663.2692105263158
2024,CAIXA,Geração de Caixa Operacional,39.042,107.54,113.506,-27.345,884.283,143.025,18.653,283.909,0.0,421.231,22.324,55.468,121.527,18.66,150.173,383.12,43.811,111.822,205.901,63.353,5.886,162.98157894736843
2024,CAIXA,Caixa Líquido Gerado (Consumido) pelas Atividades de Financiamento,-0.488,-260.257,0.0,-2.088,-391.414,-114.699,-5.016,0.0,0.0,0.0,-59.583,-5.056,-32.276,0.0,62.661,-63.048,-2.682,36.789,-67.901,1.386,30.52,-47.63463157894736
2024,CAIXA,Saldo de Caixa,8.001,19.81,128.443,134.387,130.02,12.699,0.272,7.024,2.932,91.841,10.423,25.329,11.145,20.048,3.77,38.363,31.397,17.6,28.504,31.018,0.17,38.00042105263159
2024,ESTÁDIO,Público médio (mandante),7168.0,28989.0,30314.0,36022.0,25794.0,43605.0,23249.0,30028.0,5732.0,51084.0,32171.0,31125.0,20345.0,13686.0,30820.0,31328.0,8671.0,39903.0,20248.0,0.0,0.0,26856.947368421053
2024,ESTÁDIO,% Ocupação,0.5929357266936884,0.6457497995188453,0.7154252808458416,0.7490227064792481,0.5775508833210183,0.8861904278020526,0.6732011003329955,0.4848935036413842,0.13340160119158442,0.647961642862579,0.40806463887972805,0.4870663349138538,0.33908333333333335,0.711885565669701,0.6061917312458204,0.7166746734381076,0.4352037743425015,0.5973950145969009,0.9254113345521023,0.0,0.0,0.5964899512453308
2024,INVESTIMENTO,Aquisições de atletas,11.251,229.175,101.78,264.588,532.433,207.502,19.401,331.871,18.153,414.808,72.558,82.292,129.534,0.0,187.751,185.454,2.588,110.753,185.136,22.767,34.101,162.4751578947369
2024,ACESSÓRIOS,Receita c/ Direitos de transmissão,58.123,247.742,30.365,112.788,100.982,295.064,84.237,138.072,56.036,453.543,166.696,56.595,178.616,60.387,75.613,170.868,94.055,239.421,95.133,25.175,55.48,142.85978947368417
2024,ACESSÓRIOS,Premiações,0.0,0.0,27.193,0.0,257.504,70.635,0.0,0.0,0.0,0.0,0.0,46.424,0.0,0.0,50.551,63.329,0.0,0.0,51.682,0.0,0.0,29.858842105263157
2024,ACESSÓRIOS,Receita c/ Match-Day,10.497,80.684,26.129,83.183,36.356,93.994,10.486,51.069,13.076,165.773,29.192,26.07,11.997,2.968,11.9,52.805,4.294,96.098,34.227,14.492,34.342,44.25252631578946
2024,ACESSÓRIOS,Receita c/ Sócio-torcedor,3.128,32.193,59.33,0.0,48.62,0.0,38.352,32.439,1.627,77.766,69.864,38.548,99.046,20.17,81.35,74.192,5.83,51.652,53.568,15.167,28.032,41.45657894736843
2024,ACESSÓRIOS,Receita com Publicidade e Patrocínio,14.222,58.463,35.544,57.09,55.911,253.721,42.38,57.86,30.863,322.507,78.274,42.246,65.375,10.039,75.058,142.976,25.854,72.269,52.999,19.316,89.114,78.6132105263158
2024,ACESSÓRIOS,Receita com Licenciamento da Marca,0.0,1.003,0.0,0.0,3.177,0.0,0.0,15.365,0.295,97.72,0.0,5.3,11.775,1.204,12.736,36.634,0.0,26.823,6.908,0.0,0.0,11.523157894736842
