Ano,Item,Dados,América,Atlético GO,Atlético,Athletico,Avaí,Bahia,Botafogo,Chapecoense,Corinthians,Coritiba,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Goiás,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Sport,Santos,Red Bull Bragantino,Ceará,Mirassol,Média da Liga
2025,RECEITA,Receita Operacional,0.0,0.0,0.0,0.0,0.0,467.684,0.0,0.0,0.0,0.0,233.921,0.0,0.0,2018.482,0.0,0.0,0.0,502.644,0.0,0.0,1628.486,134.683,0.0,0.0,0.0,678.505,0.0,0.0,0.0,283.22024999999996
2025,RECEITA,Receita da Atividade Esportiva,0.0,0.0,0.0,0.0,0.0,367.57000000000005,0.0,0.0,0.0,0.0,184.414,0.0,0.0,1499.741,0.0,0.0,0.0,375.539,0.0,0.0,1026.2780000000002,118.698,0.0,0.0,0.0,489.988,0.0,0.0,0.0,203.1114
2025,RECEITA,Receita c/ Transmissão + Premiações,0.0,0.0,0.0,0.0,0.0,185.757,0.0,0.0,0.0,0.0,146.95600000000002,0.0,0.0,611.553,0.0,0.0,0.0,155.58,0.0,0.0,499.029,88.014,0.0,0.0,0.0,156.172,0.0,0.0,0.0,92.15305
2025,RECEITA,Receita Comercial,0.0,0.0,0.0,0.0,0.0,85.628,0.0,0.0,0.0,0.0,38.129,0.0,0.0,541.296,0.0,0.0,0.0,115.248,0.0,0.0,236.856,19.166,0.0,0.0,0.0,142.433,0.0,0.0,0.0,58.9378
2025,RECEITA,Receita c/ Match-Day + Sócio-Torcedor,0.0,0.0,0.0,0.0,0.0,116.81,0.0,0.0,0.0,0.0,9.077,0.0,0.0,241.587,0.0,0.0,0.0,74.001,0.0,0.0,140.844,9.995000000000001,0.0,0.0,0.0,89.55,0.0,0.0,0.0,34.093199999999996
2025,RECEITA,Receita c/ Negociação de atletas,0.0,0.0,0.0,0.0,0.0,100.114,0.0,0.0,0.0,0.0,49.507,0.0,0.0,518.741,0.0,0.0,0.0,127.105,0.0,0.0,602.208,15.985,0.0,0.0,0.0,188.517,0.0,0.0,0.0,80.10884999999999
2025,DESPESA,Folha do Futebol,0.0,0.0,0.0,0.0,0.0,339.935,0.0,0.0,0.0,0.0,132.553,0.0,0.0,696.183,0.0,0.0,0.0,211.779,0.0,0.0,639.6719999999999,59.01,0.0,0.0,0.0,363.69,0.0,0.0,0.0,122.14110000000001
2025,DESPESA,Folha do Futebol + Amortização,0.0,0.0,0.0,0.0,0.0,484.76800000000003,0.0,0.0,0.0,0.0,143.53199999999998,0.0,0.0,939.899,0.0,0.0,0.0,302.589,0.0,0.0,867.8409999999999,66.381,0.0,0.0,0.0,454.962,0.0,0.0,0.0,162.99859999999998
2025,DESPESA,Folha do Futebol + Compra de Jogadores,0.0,0.0,0.0,0.0,0.0,612.625,0.0,0.0,0.0,0.0,170.95999999999998,0.0,0.0,1331.788,0.0,0.0,0.0,370.273,0.0,0.0,1460.463,68.24799999999999,0.0,0.0,0.0,622.082,0.0,0.0,0.0,231.82195000000002
2025,DESPESA,Custo da Atividade Esportiva,0.0,0.0,0.0,0.0,0.0,565.645,0.0,0.0,0.0,0.0,244.085,0.0,0.0,1194.22,0.0,0.0,0.0,489.036,0.0,0.0,1246.377,95.898,0.0,0.0,0.0,558.925,0.0,0.0,0.0,219.70929999999998
2025,RESULTADO,Resultado Operacional (Segmento Futebol),0.0,0.0,0.0,0.0,0.0,-152.812,0.0,0.0,0.0,0.0,-16.34,0.0,0.0,350.886,0.0,0.0,0.0,243.619,0.0,0.0,382.109,22.8,0.0,0.0,0.0,-4.127,0.0,0.0,0.0,41.30675
2025,RESULTADO,Resultado,0.0,0.0,0.0,0.0,0.0,-154.624,0.0,0.0,0.0,0.0,-25.418,0.0,0.0,343.171,0.0,0.0,0.0,35.484,0.0,0.0,292.395,25.488,0.0,0.0,0.0,-79.396,0.0,0.0,0.0,21.854999999999997
2025,PASSIVOS,Dívida Líquida,0.0,0.0,0.0,0.0,0.0,237.13300000000004,0.0,0.0,0.0,0.0,181.15800000000002,0.0,0.0,626.4749999999998,0.0,0.0,0.0,828.2360000000001,13.0,0.0,805.0440000000001,0.0,0.0,0.0,0.0,839.2619999999998,0.0,0.0,0.0,175.8654
2025,CAIXA,Geração de Caixa Operacional,0.0,0.0,0.0,0.0,0.0,-47.06,0.0,0.0,0.0,0.0,56.49,0.0,0.0,679.99,0.0,0.0,0.0,511.459,0.0,0.0,1068.676,19.268,0.0,0.0,0.0,345.38,0.0,0.0,0.0,131.71015
2025,CAIXA,Caixa Líquido Gerado (Consumido) pelas Atividades de Financiamento,0.0,0.0,0.0,0.0,0.0,221.108,0.0,0.0,0.0,0.0,-10.421,0.0,0.0,-22.139,0.0,0.0,0.0,19.988,0.0,0.0,-40.416,-2.121,0.0,0.0,0.0,-63.375,0.0,0.0,0.0,5.1312
2025,CAIXA,Saldo de Caixa,0.0,0.0,0.0,0.0,0.0,33.984,0.0,0.0,0.0,0.0,0.083,0.0,0.0,191.714,0.0,0.0,0.0,18.356,0.0,0.0,118.371,28.575,0.0,0.0,0.0,22.14,0.0,0.0,0.0,20.66115
2025,ESTÁDIO,Público médio (mandante),,,24086.0,,,38160.0,14772.0,,39941.0,,22144.0,40158.0,,58554.0,26724.0,26391.0,,25526.0,,24365.0,34935.0,8060.0,28659.0,21471.0,13989.0,17011.0,4916.0,34702.0,6287.0,25542.55
2025,ESTÁDIO,% Ocupação,0.0,0.0,0.5365321215361312,0.0,0.0,0.7934791649338767,0.33075837979445155,0.0,0.8117264505639671,0.0,0.6412045750687708,0.6484732023188593,0.0,0.7427129049443162,0.33897359141530736,0.41298530585418525,0.0,0.42543333333333333,0.0,0.4792297706620511,0.7991901722599685,0.40453724151776754,0.42905906130698407,0.9813071297989031,0.5295253236429707,0.949115661440607,0.4096666666666667,0.5430417977246764,0.4325719003715426,0.5819761877577666
2025,INVESTIMENTO,Aquisições de atletas,0.0,0.0,0.0,0.0,0.0,272.69,0.0,0.0,0.0,0.0,38.407,0.0,0.0,635.605,0.0,0.0,0.0,158.494,0.0,0.0,820.791,9.238,0.0,0.0,0.0,258.392,0.0,0.0,0.0,109.68085
2025,ACESSÓRIOS,Receita c/ Direitos de transmissão,0.0,0.0,0.0,0.0,0.0,185.757,0.0,0.0,0.0,0.0,114.552,0.0,0.0,611.553,0.0,0.0,0.0,155.548,0.0,0.0,180.084,88.014,0.0,0.0,0.0,156.172,0.0,0.0,0.0,74.584
2025,ACESSÓRIOS,Premiações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.404,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,318.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.569049999999997
2025,ACESSÓRIOS,Receita c/ Match-Day,0.0,0.0,0.0,0.0,0.0,116.81,0.0,0.0,0.0,0.0,9.077,0.0,0.0,153.888,0.0,0.0,0.0,6.45,0.0,0.0,67.23,3.3,0.0,0.0,0.0,32.326,0.0,0.0,0.0,19.454050000000002
2025,ACESSÓRIOS,Receita c/ Sócio-torcedor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.699,0.0,0.0,0.0,67.551,0.0,0.0,73.614,6.695,0.0,0.0,0.0,57.224,0.0,0.0,0.0,14.63915
2025,ACESSÓRIOS,Receita com Publicidade e Patrocínio,0.0,0.0,0.0,0.0,0.0,85.628,0.0,0.0,0.0,0.0,38.129,0.0,0.0,410.252,0.0,0.0,0.0,107.592,0.0,0.0,203.398,18.941,0.0,0.0,0.0,142.433,0.0,0.0,0.0,50.318650000000005
2025,ACESSÓRIOS,Receita com Licenciamento da Marca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.044,0.0,0.0,0.0,7.656,0.0,0.0,33.458,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.619150000000001
2025,ACESSÓRIOS,Outras receitas,0.0,0.0,0.0,0.0,0.0,104.909,0.0,0.0,0.0,0.0,6.047,0.0,0.0,95.899,0.0,0.0,0.0,30.71,0.0,0.0,149.549,0.368,0.0,0.0,0.0,101.833,0.0,0.0,0.0,24.465750000000003
2025,ACESSÓRIOS,Despesas com salários e encargos de atletas ,0.0,0.0,0.0,0.0,0.0,339.935,0.0,0.0,0.0,0.0,86.836,0.0,0.0,525.089,0.0,0.0,0.0,211.779,0.0,0.0,525.829,59.01,0.0,0.0,0.0,261.412,0.0,0.0,0.0,100.4945
2025,ACESSÓRIOS,Direitos de imagem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.717,0.0,0.0,171.094,0.0,0.0,0.0,0.0,0.0,0.0,113.843,0.0,0.0,0.0,0.0,102.278,0.0,0.0,0.0,21.6466
2025,ACESSÓRIOS,Amortização,0.0,0.0,0.0,0.0,0.0,144.833,0.0,0.0,0.0,0.0,10.979,0.0,0.0,243.716,0.0,0.0,0.0,90.81,0.0,0.0,228.169,7.371,0.0,0.0,0.0,91.272,0.0,0.0,0.0,40.8575
2025,ACESSÓRIOS,Depreciação,0.0,0.0,0.0,0.0,0.0,3.165,0.0,0.0,0.0,0.0,1.123,0.0,0.0,12.845,0.0,0.0,0.0,10.323,0.0,0.0,19.958,8.514,0.0,0.0,0.0,2.499,0.0,0.0,0.0,2.92135
