Gini Index,Turnover,Turnover.1,Broadcast Revenue,Broadcast Revenue.1,Broadcast Revenue.2,Broadcast Revenue.3
Season,Brasileirão,Premier League,Premier League,La Liga,Bundesliga,Serie A
2020/21,0.42661612302236684,0.30584649742864756,0.08018906434334551,0.2302770083102494,0.13296174725854776,0.18612290276935517
2021/22,0.41793032600651625,0.31464208298576735,0.07223682893121727,0.2296518396947636,0.18084732829582217,0.21195434606703292
2022/23,0.37276083227508466,0.3156998863580216,0.08789035559279246,0.24248550432544716,0.16610598157201092,0.20626289419392863
2023/24,0.35301049811312674,0.32432785132543,0.08395590506951275,0.23863592628228847,0.1771369674336054,0.2080846698992913
2024/25,,0.32080132408968837,0.07695863918690005,0.24197131892546955,0.1850016444590618,0.2060837136813982
Max/Min Ratio,Turnover,Turnover,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue
Season,Brasileirão,Premier League,Premier League,La Liga,Bundesliga,Serie A
2020/21,15.847969505021918,5.330215154349859,1.5635429906925253,3.5384615384615388,2.4111187371310914,2.776271186440678
2021/22,13.34743714368284,4.9675850891410045,1.5217996381637806,3.5074138682948104,3.1615735862311207,3.2447013487475918
2022/23,15.985519817276488,5.05531914893617,1.7005501930501932,3.954921111945905,2.8728598987219676,2.9625850340136055
2023/24,18.128593517351966,5.4043839758125465,1.6034639927073837,3.8143192488262914,3.0481812380344606,3.2268370607028753
2024/25,,4.621890547263682,1.6016483516483517,3.954921111945905,3.1990491283676703,3.211764705882353
C3 Ratio,Turnover,Turnover,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue
Season,Brasileirão,Premier League,Premier League,La Liga,Bundesliga,Serie A
2020/21,0.3763957094604619,0.3178437519208311,0.18017637745999462,0.3176592797783934,0.21538009794771235,0.24368304022639986
2021/22,0.3747574976407294,0.32796680364157643,0.17779356265910254,0.3165214829777386,0.24838441747867843,0.25548315659469356
2022/23,0.34231162072811655,0.3220185450532799,0.18578743540969225,0.32754023131065696,0.24143746318550005,0.24304941546320846
2023/24,0.33513260298840297,0.31341781704977834,0.18340120769554835,0.32560876322996074,0.24331894360273254,0.25652741514360317
2024/25,,0.3106739116857161,0.1806535855448899,0.32824759566831874,0.24876665570360626,0.24201269063787148
C5 Ratio,Turnover,Turnover,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue,Broadcast Revenue
Season,Brasileirão,Premier League,Premier League,La Liga,Bundesliga,Serie A
2020/21,0.5286729387355228,0.4810990226811729,0.2946208011677492,0.4267313019390583,0.35141625680338107,0.3793208004851426
2021/22,0.5450559392775617,0.4972346747642689,0.2926288370860969,0.42694525102049413,0.39031258229848276,0.39670371789957837
2022/23,0.49489236860481933,0.4969448424658662,0.3034448164142985,0.43404855663390274,0.3875886830820255,0.38972394144807926
2023/24,0.47049633922248685,0.49297191912204014,0.2982024996489257,0.43159647694471165,0.39100934562160866,0.38549048862364793
2024/25,,0.49376053962900507,0.2949604743083004,0.4333545670649286,0.396021297967093,0.38506067015473666
