Ano,Item,Dados,América,Atlético GO,Atlético,Athletico,Avaí,Bahia,Botafogo,Chapecoense,Corinthians,Coritiba,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Goiás,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Sport,Santos,Red Bull Bragantino,Ceará,Mirassol,Média da Liga,Unnamed: 33
2023,RECEITA,Receita Operacional,184.2,127.737,457.002,596.154,132.1,158.362,279.197,127.322,837.619,64.616,77.123,224.492,157.933,1315.873,664.962,245.072,89.973,471.469,101.742,400.736,839.14,48.06,668.9630000000001,349.272,72.943,399.584,422.972,130.912,,441.37955,
2023,RECEITA,Receita da Atividade Esportiva,125.39999999999999,119.139,345.699,479.443,124.69999999999999,152.738,239.419,120.73100000000001,586.5920000000001,61.434,70.667,203.778,140.68099999999998,1012.3800000000001,435.356,209.543,85.408,421.929,101.28,315.326,652.12,45.442,548.239,222.091,70.2,250.933,375.91499999999996,119.12100000000001,,343.22120000000007,
2023,RECEITA,Receita c/ Transmissão + Premiações,72.9,10.782,97.713,79.78999999999999,9.9,76.538,153.62,95.25,413.568,33.524,13.512,101.728,103.565,425.396,277.233,88.87,58.897999999999996,193.09,14.011,149.878,262.76599999999996,32.069,259.441,118.535,19.537,96.593,0.0,16.349,,153.18229999999997,
2023,RECEITA,Receita Comercial,32.9,4.383,59.021,38.547,11.299999999999999,31.119,43.978,20.832,117.067,16.03,10.463,60.393,21.706000000000003,322.993,49.63,36.561,13.371,86.126,5.26,77.845,156.694,7.161,64.608,57.622,17.462,77.626,0.0,17.528,,68.19185000000002,
2023,RECEITA,Receita c/ Match-Day + Sócio-Torcedor,3.9000000000000004,2.6029999999999998,74.43,79.054,9.700000000000001,49.197,50.813,5.378,90.771,16.751,33.548,59.669,22.518,260.271,96.044,54.566,8.924,88.441,16.294,84.64399999999999,121.701,5.470000000000001,130.75300000000001,59.209999999999994,29.224,44.869,0.0,22.551000000000002,,69.82629999999999,
2023,RECEITA,Receita c/ Negociação de atletas,58.8,8.598,111.303,116.711,7.4,5.624,39.778,6.591,251.027,3.182,6.456,20.714000000000002,17.252,303.493,229.606,35.529,4.565,49.54,0.462,85.41,187.02,2.618,120.724,127.181,2.743,148.651,47.057,11.791,,98.15835000000001,
2023,DESPESA,Folha do Futebol,92.1,32.952,217.149,130.49,30.4,121.232,231.674,23.832,348.874,63.369,34.731,94.709,74.69,463.05,327.466,114.652,50.195,128.018,31.244,194.505,382.8,22.61,319.253,159.868,49.112,186.227,0.0,47.893,,185.01605,
2023,DESPESA,Folha do Futebol + Amortização,99.3,37.598,294.91700000000003,167.845,31.7,153.714,323.01300000000003,37.006,429.957,76.605,35.45,125.374,81.804,638.779,346.148,151.734,52.736,202.966,31.244,242.777,473.115,27.738,370.79999999999995,218.74699999999999,51.157000000000004,227.022,0.0,54.734,,233.86765,
2023,DESPESA,Folha do Futebol + Compra de Jogadores,101.19999999999999,44.202999999999996,319.319,183.25300000000001,32.8,157.773,309.35,35.724000000000004,401.55600000000004,86.344,36.729,197.22899999999998,74.69,736.193,333.164,189.24,51.795,151.948,33.677,279.91499999999996,532.261,25.707,396.03,316.14300000000003,49.112,296.867,113.676,58.979,,261.3973,
2023,DESPESA,Custo da Atividade Esportiva,92.1,61.977,478.422,230.728,55.6,182.609,374.834,41.656,679.248,92.414,80.342,176.278,38.167,853.762,524.93,220.947,78.409,363.552,10.413,287.511,777.278,37.834,519.876,293.803,90.481,277.358,341.614,114.001,,344.192,
2023,RESULTADO,Resultado Operacional (Segmento Futebol),33.3,57.162,-132.723,248.71499999999997,69.1,-29.87100000000001,-135.415,79.07500000000002,-92.65599999999995,-30.980000000000004,-9.674999999999997,27.5,102.51399999999998,158.61800000000017,-89.57399999999996,-11.403999999999996,6.998999999999995,58.37699999999995,90.867,27.814999999999998,-125.15800000000002,10.227,47.63000000000011,-70.493,74.301,-1.367,47.415,16.912,,1.9621000000000124,
