Clubes,Rubrica,Atlético GO,Athletico,Atlético,Bahia,Botafogo,Ceará,Corinthians,Criciúma,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Internacional,Juventude,Mirassol,Palmeiras,Red Bull Bragantino,Santos,São Paulo,Sport,Vasco,Vitória,Média da Liga
Direitos de transmissão,(a),58.123,30.365,248,113.0,101.0,18.0,295.064,60,138.072,56.036,453.543,100.285,57.0,178.616,76,94.055,12.047,170.868,0,55.48,239,25.175,95,84,0
Publicidade e patrocínio,(b),14.222,36.0,58,57.09,105.0,20.0,265.0,10,58.0,31.0,320.022,78.274,42.246,65.375,75,26.0,5.094,142.976,0,89.114,113,19.316,53,42,0
Bilheteria,(c),10.0,26.129,81,83.183,36.356,17.202,94.081,3,51.069,13.076,118.062,29.192,26.07,11.997,11,4.294,10.151,52.805,0,34.342,96,14.492,34,11,0
Sócio-torcedor,(d),3.129,59.33,32,0.0,48.0,23.0,27.0,20,32.439,2.0,103.064,69.864,39.0,99.046,81,6.0,0.0,141.851,0,28.032,52,15.167,54,0,0
Premiações,(e),0.0,27.193,0,0.0,258.0,4.0,72.158,0,0.0,0.0,0.0,66.411,62.0,0.0,51,0.0,1.891,63.329,0,0.0,0,0.0,52,38,0
Licenciamento da marca,(f),0.0,0.0,0,0.0,3.177,0.0,20.0,1,15.365,0.295,97.72,0.0,0.0,11.775,16,0.0,0.0,195.183,0,0.0,27,0.0,7,2,0
Outras receitas,(g),17.0,83.0,22,20.286,0.0,60.483,31.0,4,12.0,0.0,49.74,56.0,6.0,37.206,0,1.0,17.974,0.0,425,45.074,102,61.765,12,1,0
RECEITA ATIVIDADE ESPORTIVA,(h)=(a)+(a')+(b)+(c)+(d)+(e)+(f)+(g),102.474,262.01700000000005,397,273.559,551.533,143.0,742.3030000000001,98,282.94500000000005,102.407,1142.151,400.026,232.316,404.015,310,131.349,47.157,767.012,425,252.04199999999997,629,135.91500000000002,283,176,0
Pessoal e encargos sociais,(i),31.309,108.0,247,294.0,290.0,80.0,429.0,81,200.355,92.0,386.02,292.366,97.0,194.295,226,61.148,18.256,391.131,0,157.818,304,63.22,156,71,0
Direitos de imagem,(j),15.0,29.0,80,0.0,83.0,0.0,0.0,0,0.0,0.0,138.02,79.0,46.0,0.0,64,0.0,0.0,87.293,0,29.411,110,0.0,58,28,0
Amortização de direitos esportivos,(k),5.0,44.127,113,98.43,130.0,11.087,86.0,0,82.317,10.0,213.309,33.0,52.0,47.404,85,1.0,1.867,107.58,111,43.944,98,11.07,92,4,0
Outros custos,(l),91.0,70.0,197,53.358,105.0,18.0,145.323,31,112.417,27.0,245.097,72.0,80.0,170.421,29,23.0,12.459,35.992,321,66.488,245,18.389,76,68,0
CUSTO DA ATIVIDADE ESPORTIVA,(m) = (i)+(j)+(k)+(l),142.309,251.127,637,445.788,608.0,109.0,660.323,112,395.08899999999994,129.0,982.4459999999999,476.366,275.0,412.12,404,85.148,32.582,621.996,432,297.661,757,92.67899999999999,382,171,0
RESULTADO DA ATIVIDADE ESPORTIVA,(n) = (h) - (m),40.0,11.0,240,172.22899999999998,56.466999999999985,34.0,81.98000000000013,14,112.14399999999989,27.0,159.70500000000015,76.33999999999997,42.684,8.105000000000018,94,46.20099999999999,14.574999999999996,145.01599999999996,7,-45.61900000000003,128,43.23600000000003,99,5,0
Negociação de atletas,(o),7.069,188.249,183,0.0,51.0,19.043,267.38,2,31.092,103.0,47.233,262.449,41.0,104.0,178,2.0,6.879,351.805,0,127.028,90,0.0,95,2,0
Outras receitas operacionais,(p),1.0,0.0,0,0.0,16.056,0.0,2.415,0,0.007,0.0,0.0,0.0,0.0,106.0,24,3.0,0.0,0.0,81,0.0,0,26.181,1,0,0
Despesas gerais e administrativas,(q),16.0,127.159,36,37.41,146.0,39.14,142.0,4,64.918,14.0,150.88,100.853,62.0,96.985,76,11.301,17.583,222.182,38,113.642,54,79.725,53,38,0
Outros,(r),0.0,18.702,66,40.357,1.0,0.0,112.242,13,0.244,0.0,11.309,16.682,11.0,0.0,3,0.0,0.0,0.0,14,0.0,102,0.0,0,4,0
OUTRAS REC/DESP OPERACIONAIS,(s) = (o)+(p)+(q)+(r),8.0,42.38799999999999,81,77.767,79.944,20.097,15.0,15,34.063,89.0,114.95599999999999,144.91400000000002,32.0,113.015,123,10.301,-10.703999999999999,129.62300000000002,29,13.38600000000001,66,-53.544,43,40,0
RESULTADO OPERACIONAL,(t)=(n)+(s),47.0,53.0,159,249.99599999999998,136.411,13.622,97.39,28,146.439,62.015,44.749,68.772,75.763,105.0,30,36.1,3.87,274.639,22,32.233,194,10.308,56,35,0
RESULTADO FINANCEIRO,(u),2.239,29.485,140,3.34,164.0,19.0,279.0,1,23.469,2.738,46.0,68.658,4.0,60.893,64,2.0,0.274,76.456,9,72.973,94,6.279,58,6,0
RESULTADO,(v)=(t)+(u),45.0,23.439,299,247.0,300.411,6.0,182.0,29,169.908,64.753,1.0,0.114,80.325,43.592,34,34.227,4.144,198.183,31,105.206,288,16.587,115,41,0
