Total da Liga,2021,2022,2023,2024,2025
Receita Operacional,7276.6612317,7239.0125125,9648.556962999999,10782.2272272,13382.217999999999
Receita da Atividade Esportiva,5762.3043351999995,5701.207412,7502.815432000002,8108.4055026000015,9740.311
Receita c/ Transmissão + Premiações,3620.9103309999996,2891.2791445000003,3348.565078000001,3421.4524604000003,4579.401999999999
Receita Comercial,1209.6927417999998,1127.8329065000003,1490.6738409999998,1785.5473766,2619.6190000000006
Receita c/ Match-Day + Sócio-Torcedor,630.4980593999999,1068.7677009999998,1526.402918,1697.8459498000002,1714.4759999999999
Custo da Atividade Esportiva,3239.1157043000003,3195.1642695,4044.4508530000003,4765.4858446,5219.55
Folha do Futebol,4024.4989128999996,4602.568060499999,5714.144978,8102.925597,9733.706999999999
Folha do Futebol + Compra de Jogadores,5948.409422000002,5957.477197000001,7524.03712,8720.203182599998,8832.981
